dataset,landslide,type,soil_texture_idx,PGA2_max,x,y,predicted_susceptibility
training,0.0,Sandy Clay Loam,7,0.23553325235843658,37.50155,13.966671,0.05193507671356201
training,0.0,Undifferentiated,7,0.16475088894367218,-11.339581,-6.5131187,0.12741459906101227
training,0.0,Undifferentiated,11,0.2204185277223587,76.596306,-19.04697,0.24270105361938477
training,0.0,Undifferentiated,7,0.18910354375839233,-61.628273,-23.137466,0.1425417959690094
training,0.0,Undifferentiated,7,0.131050705909729,-6.7992935,-13.418174,0.050495825707912445
training,0.0,Undifferentiated,7,0.13616491854190826,-46.299477,-17.54498,0.08424483984708786
training,0.0,Undifferentiated,11,0.26381441950798035,68.82489,-25.353107,0.08794134855270386
training,0.0,Sandy Clay Loam,7,0.45949503779411316,-3.00051,-75.70169,0.26303088665008545
training,0.0,Undifferentiated,7,0.3788595199584961,-49.212143,43.49152,0.12868638336658478
training,0.0,Sandy Clay Loam,7,0.3833455741405487,-0.58536637,32.46106,0.06400186568498611
training,0.0,Undifferentiated,7,0.3713896572589874,-50.753815,42.130188,0.08378320187330246
training,0.0,Sandy Clay Loam,11,0.34036919474601746,53.245182,-17.514809,0.08999373018741608
training,0.0,Sandy Clay Loam,7,0.41329818964004517,3.2085881,-61.53813,0.18885956704616547
training,0.0,Sandy Clay Loam,7,0.36662545800209045,-3.6097004,-70.13091,0.7974697947502136
training,0.0,Sandy Clay Loam,7,0.26551979780197144,9.167208,24.9338,0.04285525903105736
training,0.0,Sandy Clay Loam,7,0.2050795704126358,23.76891,-43.15325,0.14671802520751953
training,0.0,Undifferentiated,7,0.18934747576713562,-61.90315,4.2579722,0.07569292187690735
training,0.0,Undifferentiated,7,0.18459449708461761,-63.325066,-25.009674,0.19111435115337372
training,0.0,Sandy Clay Loam,7,0.2796748876571655,-1.8311656,-29.744387,0.13669511675834656
training,0.0,Sandy Clay Loam,7,0.41329818964004517,18.962202,-66.683624,0.48689916729927063
training,0.0,Undifferentiated,7,0.13157223165035248,-25.705091,-19.899225,0.08196275681257248
training,0.0,Undifferentiated,11,0.22204242646694183,78.86435,-20.496231,0.09206529706716537
training,0.0,Undifferentiated,7,0.2101622372865677,-48.164875,-4.8472404,0.16706626117229462
training,0.0,Undifferentiated,7,0.1988942176103592,-51.244747,-31.496815,0.9902170300483704
training,0.0,Sandy Clay Loam,7,0.31298160552978516,13.680958,-64.36036,0.1505402773618698
training,0.0,Undifferentiated,7,0.27859917283058167,-30.21998,25.414206,0.08062588423490524
training,0.0,Undifferentiated,7,0.14290586113929749,-62.0591,-28.423113,0.14476554095745087
training,0.0,Undifferentiated,7,0.2043142318725586,-33.57273,28.25746,0.06634598970413208
training,0.0,Undifferentiated,7,0.13408754765987396,-33.34657,-30.736107,0.28993329405784607
training,0.0,Undifferentiated,7,0.1857539862394333,-54.446777,-3.6550078,0.06862080097198486
training,0.0,Sandy Clay Loam,7,0.3275306224822998,23.849594,-52.99025,0.0792725533246994
training,0.0,Undifferentiated,11,0.12331405282020569,43.91017,-12.842601,0.06521649658679962
training,0.0,Undifferentiated,7,0.2084771692752838,-60.227135,4.985317,0.04980653524398804
training,0.0,Sandy Clay Loam,7,0.36108073592185974,7.057034,38.658325,0.06317088752985
